text,emoji,emoji_id
cheer up hes probably unconscious in an er somewhere no one would stand you up, 😊,25
what not to wear im always afraid im going to be ambushed and put on the show, 😱,0
feeling a little bad about having to put gizmo in the kennel alone tonight hope hes okay, 😔,7
sitting in the garden having lunch reading a book nice weather, 🌞,26
doesnt wanna go to work tonighti dont wanna miss church, 🙏,5
the sheer pleasure of paging through the argos catalog has me feeling satisfied  and im wellaware of how cool i come across , 😎,89
enjoy your time in india even though we wont get to meet up  i called to say i love you, 💖,96
currently  im in montreal filming for beastly  but then i have to film for sucker punch  which unfortunately means i wont be in hsm , 🎬,91
aww poor baby prius i dont but check it httpdirtycarartcomindexhtml haha, 😂,9
lol get to your bed, 😴,10
supposed to go watch the k run in town and now its supposed to rain booo, 🙁,55
trying out tweetdeck as a twitter client program interface looks pretty cool shame i couldnt get im working right, 🤔,1
im excited to see katrina tomorrow amp get my toes done it should be refreshing hopefully i find a cute outfit too for my bday dinner, 🤩,31
i feel bad for these seniors at gkhs their admin handcuffed me and i went from packed dance floor to nothing, 😢,16
they were good stories i cant believe i hit a pole, 😱,0
get peeps to vote it up its still really quite underscored dunno if its gonna be printeed yet man, 🤞,21
its been a long wait  but we can finally go back to the comfort of our own homes , 🏠,75
i cant believe someone spammed me with porn within minutes of joining twitter perhaps i should leave, 🤬,3
oh yes i used to love johnny i hope their new album is good but i didnt like let love in so i prob wont like the new, 🤔,1
matthew its already sunday, 🌞,26
shame bout hatton last night, 😞,53
i have a language assignment to complete , 📝,90
i want to attend the lecture  so please keep me apprised of any updates , 📝,90
girl i have to pass this time or i mite have to get permission from the dean to retake the class lmaothis is terrible, 😩,12
the more i play the game  the more i can make the most of my investment on it , 🎮,82
im training my yard gnomes in the deadly art of spork fu but they keep poking me in the eye, 🤕,17
im not fully lucid yet  but the coffee is helping  and the drab sky hints at a promising day , ☕️,62
thinks its the worse when those you trust the most disappoint you, 😔,7
thesimscom needs a better system for friend requests because this email overload is too much , 🙄,70
invert your thongs before wearing them , 🤪,14
ah man i missed it, 😔,7
oh ive discovered mobile twitter maybe ill actually tweet more than once a year, 🤔,1
i feel pretty pants i have done all day but bleh kinda pants haha like i cant be bothered with everything all of a sudden, 🤦,35
tidying up your home can alleviate anxious feelings , 🧹,87
that i dont know she might notshes a very busy chick, 🤷,64
have a good night  my charming , 🌙,59
please inform me of any updates regarding the lecture as i want to attend , 📝,90
the rain had completely soaked us last night  but now we are fine , 🌤,67
i am watching an edited cut of lethal weapon , 🎬,91
despite having several flights to take today  i woke up feeling unwell, 😷,4
lines vines and trying times in stores june th not in indonesia to bad, 🙁,55
heres something to nudge you further httpbitlysnu, 🤔,1
mmm im gonna go to sleep now bubs cause im going shopping tomorrow seeyaah x loveyoou x, 🛍,40
had fun yesterdaywill have to surprise you another time, 🤗,23
youÂre so awsum hun iÂm glad to have you my sexiest man on earth much loveeeeee, ❤️,33
after relishing a wonderful cup of coffee  were energized for the days challenges , ☕️,62
i appreciate being here instead of the cold  wet sydney, 🍻,69
i love you tooooooooooooom â, ❤️,33
nobody can change my opinion  youre amazing , 😎,89
so i picked to stay with with tori, 🤗,23
i am worried that my tendency to tweet too much will cause me to be blocked from using the platform , 🙅,97
the bnp candidate said it was the quotfirst step to freedomquot from eu quotdictatorshipquot, 🤔,1
aye indeed hope sir arthur is well, 🤓,63
if you want to earn dividends without any effort  then you should join wwwmeasia as a shareholder  which i highly recommend , 🤑,11
its nice to know that the strip club i work at in dc shows the pornographic films i star in , 😎,89
this is my first tweet and its pretty lame lol, 😆,29
lease signed moving across the street from mitch amp autumn, 🤝,2
tomorrow  id rather not work , 🙅,97
just been beaten at rifle shooting by she fluked her last shot to beat me by a point raining now, 🤦,35
hates smartarse rookie cops on power trips who pull you over and issue fines, 😡,36
rest well  my beautiful one , 🌙,59
shit i thought it was months away im not in sheffield this weekend, 😔,7
