text,emoji,emoji_id
hope all goes well today glad its going good so far, 😊,25
i hate waiting, 🤬,3
has secured the financial means for coming film project, 🤑,11
super confused i hate guys, 🤷,64
hope toowell i will go to eat something and try to have a rest see you later here bye xoxo, 😔,7
my dad is packing a bag this makes me sad i know hes going somewhere without me, 😢,16
off to my wifes nieces th birthday bash not drinking tho on driving duties, 🎉,15
whoaa just woke up from an on and off napfeeling drowsy, 😴,10
i fell and hit me head on a wall im too clumsy, 😖,13
twitter what a lonely place it is tonight, 😔,7
i am using a sloping dipole on the server now i wonder how that works compared to the vertical reports appreciated, 🤔,1
today is the day we find out about cheer ahhhh well wish me luck i have exams today biology amp geometry wish me luck, 🤞,21
haha good to know, 😊,25
uhhh jeremy at the time lol you knoww and i kinda figured out how to do this now but its still wieeeerd hangout soon, 😆,29
checking our yr blog text on the sides is way hard to read on a dark background, 🤔,1
i am so damn tired from all this homework shower then bed, 😴,10
had a conference call with gm me president earlier my word theyre confusing everyone speaks at once so i just spoke over everyone, 🤯,50
its only letting me have one photo in there, 🤔,1
ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh someone save me, 😱,0
will the hangover be released in singapore its funny httpbitlyrpkm, 😂,9
dont worry mr right will come along soon god already has it all taken care of, 😊,25
im oddly excited to start memorising the criminal investigations book i sooo love taking tests, 🤩,31
nope no skype, 🤦,35
dang thought of a great tweet while brushing my teeth forgotten now, 🤔,1
gawd my nose is huge my passport pic tomorrow is going to look so yucky, 😩,12
im glad to hear youre okay i heard from that you almost had a bad night im mad at them too gtlt, 😠,57
oh i didnt know what you were talking about got it now while i cant imagine i am sure they dont realise what it means, 🤔,1
yes but he and i cant find each other on twitter, 😔,7
i cant find casablanca skimming thru unlabeled dvrd dvds for something good instead, 🤔,1
tell to wear his bday suit, 🎉,15
your tweets are making my night bb girl, 😊,25
httptwitpiccomukl charlie he loves me, ❤️,33
is looking forward to a lovely eve ahead, 🤗,23
need some btr time to catch up on shows apparently, 📺,39
dude u have to go now i kinda feel badly im tweeting about it ill stop u, 🙁,55
gonna watch the mtv awards too bad im not there, 🤩,31
ahh computer class with tori and geena watching th hangover later with torii, 🤣,34
eating dinner with tubby he doesnt want any cows tongue, 🍽,24
just seen at liveatleeds it was the totally tropical taste man future of the left next yes, 🤩,31
i absolutely love the ads for it theyre kinda scary and wrong but really funny ooh fingermouse, 😂,9
yknow what i really have to go s be back soon xoxo gossipgirl youknowyouloveme lt, 🤔,1
is heading back to preston to collect the last of her stuff, 🚗,60
man best movie and everytime theyre about to crash i always have faith theyll dodge the iceburg lmao, 🤞,21
jealous the only beach close to where i live is completely polluted, 🤦,35
i am a subscriber, 🤗,23
sucks for you i dont have to deal with so cal traffic for a whole summer, 😩,12
paulina rubio is booooooooooooooring and i think that she is everything but not blondie, 🤦,35
ohhh cry holidays are nearly over seriously so unfair we only got week at least i had awesome holidays, 😢,16
ooops turned off alarm and half hour nap turned into two hour nap time to work on my prospectus due tomorrow, 😩,12
hoping for a better month this time around may kicked my ass, 🤞,21
so will i team draco whoooh, 🤩,31
of course it was a joke were all so tired and nobody wants to work so everybody said quoti want the bedquot, 😴,10
all i have to say is, 🤗,23
oh noes my mcds sweet tea is all gone, 😭,8
lol i kno bby i wont c u till, 😂,9
i always thought it was thursday todayy blahh its friday which means in days school starts again, 🤦,35
hopefully to soon thank you, 🤗,23
hope you all are having a good daynight d, 🤗,23
oh kool r u goin on holiday to france love ya youtube vids btw keep them comin xxx, 🤗,23
aww nice working on anything in particular things are ok just a quiet night also visiting the parents for a few days, 🤗,23
haha you would lie cause im ugly n this photo is awful, 😔,7
and is gonna leave soon too dont leave me, 😢,16
my suggestion pray, 🙏,5
i just lost all my emails not impressed, 😞,53
wish it was icon, 🤞,21
looks a lot like the old mike again, 🤩,31
i wish i was joining, 🤞,21
been too long miss you guys, 😭,8
lol np love u too, ❤️,33
im so sad that orlando lost congratulations to the lakers though, 😢,16
ok then go and watch with me i just have to work crooners after the show, 🤩,31
not by much it was right before my client refreshed, 🤔,1
very cool saved petparenthood under my saved searches, 🐶,43
